N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,conv1,84405,71680,71680,12725,1644912.635653798,150528,752640.0,1053696,1053696,308281344,308281344,236027904,2846928,236027904,2846928,308281344,308281344,54377680,51380224,"{'B/b': (1, 1), 'OW/ow': (1, 112), 'OH/oh': (1, 16), 'IC/ic': (1, 3), 'OC/oc': (8, 8)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,23119,1792,1792,21327,380905.740783616,65536,327680.0,458752,458752,38535168,38535168,6422528,3211264,6422528,3211264,38535168,38535168,16121856,12845056,"{'B/b': (1, 1), 'OW/ow': (1, 56), 'OH/oh': (1, 8), 'IC/ic': (1, 64), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,66241,48384,48384,17857,1430807.1834833922,1769472,8847360.0,12386304,12386304,732168192,732168192,173408256,4157440,173408256,4157440,732168192,732168192,44462080,38535168,"{'B/b': (1, 1), 'OW/ow': (1, 56), 'OH/oh': (1, 8), 'IC/ic': (1, 64), 'OC/oc': (6, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,8549,1344,1344,7205,125612.23148748801,196608,983040.0,1376256,1376256,22478848,22478848,4816896,2408448,4816896,2408448,22478848,22478848,5816320,3211264,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 4), 'IC/ic': (6, 32), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,11863,2016,2016,9847,173084.780147712,294912,1474560.0,2064384,2064384,33718272,33718272,7225344,2408448,7225344,2408448,33718272,33718272,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 4), 'IC/ic': (6, 32), 'OC/oc': (3, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,24246,12096,12096,12150,310211.836632832,1769472,8847360.0,12386304,12386304,179830784,179830784,43352064,1935360,43352064,1935360,179830784,179830784,10127360,6422528,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 4), 'IC/ic': (1, 96), 'OC/oc': (4, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,3916,672,672,3244,55498.954076672,49152,245760.0,344064,344064,5619712,5619712,2408448,2408448,2408448,2408448,5619712,5619712,3260416,802816,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 4), 'IC/ic': (6, 32), 'OC/oc': (1, 16)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,4550,1456,1456,3094,61075.58226176,204800,1024000.0,1433600,1433600,22478848,22478848,5017600,458752,5017600,458752,22478848,22478848,2269184,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 4), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,5237,672,672,4565,78139.68282726401,98304,491520.0,688128,688128,11239424,11239424,2408448,2408448,2408448,2408448,11239424,11239424,4112384,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 4), 'IC/ic': (6, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,7,7,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,15538,7168,7168,8370,296761.53283865604,3670016,700416.0,2179072,544768,68640768,68640768,25690112,25690112,25690112,25690112,68640768,68640768,11841536,7626752,"{'B/b': (1, 1), 'OW/ow': (4, 8), 'OH/oh': (1, 28), 'IC/ic': (8, 32), 'OC/oc': (1, 19)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
