,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,64,32,1,2,GoogleNet,conv1,295415,1723056.101159078,28
1,64,32,1,2,GoogleNet,conv2_3x3_reduce,80914,385410.277261312,28
2,64,32,1,2,GoogleNet,conv2_3x3,231837,1552015.963505152,42
3,64,32,1,2,GoogleNet,inception_3a_1x1,25218,128380.252080128,42
4,64,32,1,2,GoogleNet,inception_3a_3x3_reduce,34463,177236.811036672,63
5,32,64,1,2,GoogleNet,inception_3a_3x3,50357,363234.741412864,84
6,64,32,1,2,GoogleNet,inception_3a_5x5_reduce,11351,57828.95922483201,21
7,64,32,1,2,GoogleNet,inception_3a_5x5,15764,62576.24951552,1
8,64,32,1,2,GoogleNet,inception_3a_pool_proj,15974,79523.693123584,21
9,64,32,1,2,GoogleNet,inception_3b_1x1,46315,247273.324556288,112
10,64,32,1,2,GoogleNet,inception_3b_3x3_reduce,46315,247273.324556288,112
11,64,32,1,2,GoogleNet,inception_3b_3x3,91561,638257.756406784,21
12,64,32,1,2,GoogleNet,inception_3b_5x5_reduce,18308,92459.198329856,4
13,64,32,1,2,GoogleNet,inception_3b_5x5,36751,257750.653952,84
14,64,32,1,2,GoogleNet,inception_3b_pool_proj,27643,144142.70800076803,112
15,64,32,1,2,GoogleNet,inception_4a_1x1,21780,126323.55339648,6
16,32,32,2,2,GoogleNet,inception_4a_3x3_reduce,14948,78776.99437824001,15
17,64,32,1,2,GoogleNet,inception_4a_3x3,25448,171723.53677644802,7
18,32,32,2,2,GoogleNet,inception_4a_5x5_reduce,5671,33950.33978624,15
19,32,64,1,2,GoogleNet,inception_4a_5x5,7002,28113.02132672,1
20,32,32,2,2,GoogleNet,inception_4a_pool_proj,10064,56746.01417216001,15
21,64,32,1,2,GoogleNet,inception_4b_1x1,21602,124580.68098048,160
22,32,32,2,2,GoogleNet,inception_4b_3x3_reduce,16965,89763.35070707201,16
23,64,32,1,2,GoogleNet,inception_4b_3x3,27072,187309.213401856,7
24,32,32,2,2,GoogleNet,inception_4b_5x5_reduce,6717,39758.280400064,16
25,64,32,1,2,GoogleNet,inception_4b_5x5,10470,41152.991810880005,2
26,32,32,2,2,GoogleNet,inception_4b_pool_proj,10436,59174.469231104,16
27,32,32,2,2,GoogleNet,inception_4c_1x1,18453,97529.826239488,32
28,32,32,2,2,GoogleNet,inception_4c_3x3_reduce,18453,97529.826239488,32
