N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,conv1,147708,50176,50176,97532,1489870.3173305981,0,0.0,1053696,150528,154140672,154140672,59006976,2846928,59006976,2846928,154140672,154140672,54377680,51380224,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (1, 112), 'IC/ic': (1, 3), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,64,1,4,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,40458,3136,3136,37322,378105.499979776,0,0.0,458752,65536,25690112,25690112,3211264,3211264,3211264,3211264,25690112,25690112,16121856,12845056,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,64,1,4,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,115919,84672,84672,31247,1355200.681779712,0,0.0,12386304,1769472,385351680,385351680,86704128,4157440,86704128,4157440,385351680,385351680,44462080,38535168,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (3, 64)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,12610,2352,2352,10258,124581.249775616,0,294912.0,2752512,196608,12845056,12845056,4816896,4816896,4816896,4816896,12845056,12845056,5816320,3211264,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,17232,3528,3528,13704,170445.89551718402,0,0.0,4128768,589824,19267584,19267584,7225344,2408448,7225344,2408448,19267584,19267584,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (3, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
32,64,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,25179,21168,21168,4011,323638.16308326396,0,2654208.0,24772608,1769472,179830784,179830784,21676032,5160960,21676032,5160960,179830784,179830784,10772480,6422528,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 28), 'IC/ic': (3, 32), 'OC/oc': (1, 64)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,5677,2352,2352,3325,59316.158630912,0,73728.0,344064,49152,3211264,3211264,4816896,4816896,4816896,4816896,3211264,3211264,3260416,802816,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 8)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,7928,2744,2744,5184,57663.23373056,0,0.0,409600,409600,12845056,12845056,5017600,294912,5017600,294912,12845056,12845056,2105344,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 14), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,7987,2352,2352,5635,81124.817422336,0,147456.0,2752512,98304,6422528,6422528,4816896,4816896,4816896,4816896,6422528,6422528,4112384,1605632,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 16)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,23158,6272,6272,16886,231184.891170816,0,0.0,7340032,524288,19267584,19267584,12845056,3211264,12845056,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 28), 'IC/ic': (2, 128), 'OC/oc': (4, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,23158,6272,6272,16886,231184.891170816,0,0.0,7340032,524288,19267584,19267584,12845056,3211264,12845056,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 28), 'IC/ic': (2, 128), 'OC/oc': (4, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3,48498,42336,42336,6162,498458.006808576,0,0.0,99090432,3538944,96337920,96337920,86704128,5160960,86704128,5160960,96337920,96337920,18333696,9633792,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (1, 128), 'OC/oc': (6, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5_reduce,9154,3136,3136,6018,94502.09631129602,0,196608.0,131072,131072,8028160,8028160,6422528,6422528,6422528,6422528,8028160,8028160,4947968,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 28), 'IC/ic': (4, 64), 'OC/oc': (1, 16)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5,20129,15288,15288,4841,218529.06937344,0,0.0,34406400,2457600,67436544,67436544,30105600,1548288,30105600,1548288,67436544,67436544,7593984,4816896,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 14), 'IC/ic': (1, 32), 'OC/oc': (3, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_pool_proj,13823,3136,3136,10687,138902.25841971202,0,393216.0,262144,262144,16056320,16056320,6422528,6422528,6422528,6422528,16056320,16056320,6684672,3211264,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 28), 'IC/ic': (4, 64), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
32,32,4,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_1x1,13378,4410,4410,8968,122245.76420352001,0,0.0,5898240,5898240,38535168,38535168,9031680,1505280,9031680,1505280,38535168,38535168,5388288,2408448,"{'B/b': (1, 1), 'OW/ow': (1, 7), 'OH/oh': (1, 7), 'IC/ic': (15, 32), 'OC/oc': (6, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,4,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3_reduce,7474,2940,2940,4534,74195.65288704,0,1105920.0,737280,737280,19267584,19267584,6021120,6021120,6021120,6021120,19267584,19267584,3446784,1204224,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (15, 32), 'OC/oc': (1, 24)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3,18690,9604,9604,9086,153932.22638873602,0,0.0,6193152,6193152,42147840,42147840,18966528,442368,18966528,442368,42147840,42147840,6348800,2809856,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 7), 'IC/ic': (1, 96), 'OC/oc': (7, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_5x5_reduce,3620,784,784,2836,28123.102765440002,0,0.0,122880,122880,1003520,1003520,1505280,1505280,1505280,1505280,1003520,1003520,1828864,200704,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 480), 'OC/oc': (1, 16)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,64,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_5x5,3599,1372,1372,2227,24606.578030720004,0,0.0,307200,307200,4816896,4816896,1254400,82944,1254400,82944,4816896,4816896,992256,602112,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 16), 'OC/oc': (1, 48)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_pool_proj,6601,1568,1568,5033,50833.07054976,0,0.0,491520,491520,4014080,4014080,3010560,1505280,3010560,1505280,4014080,4014080,2799616,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 480), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
32,32,4,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4b_1x1,11885,3920,3920,7965,108683.8294848,0,0.0,5242880,5242880,34119680,34119680,8028160,1605632,8028160,1605632,34119680,34119680,4923392,2007040,"{'B/b': (1, 1), 'OW/ow': (1, 7), 'OH/oh': (1, 7), 'IC/ic': (16, 32), 'OC/oc': (5, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,4,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4b_3x3_reduce,8483,3136,3136,5347,84956.54036979201,0,1376256.0,917504,917504,23883776,23883776,6422528,6422528,6422528,6422528,23883776,23883776,3928064,1404928,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (16, 32), 'OC/oc': (1, 28)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
64,32,2,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4b_3x3,20267,10976,10976,9291,166998.584616192,0,0.0,7225344,7225344,47767552,47767552,22127616,516096,22127616,516096,47767552,47767552,6938624,2809856,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 7), 'IC/ic': (1, 112), 'OC/oc': (7, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4b_5x5_reduce,4143,784,784,3359,33030.884113344,0,0.0,196608,196608,1505280,1505280,1605632,1605632,1605632,1605632,1505280,1505280,2103296,301056,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (4, 128), 'OC/oc': (1, 24)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4b_5x5,5236,1960,1960,3276,36087.05037088,0,0.0,614400,614400,4816896,4816896,3763200,124416,3763200,124416,4816896,4816896,1541632,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 24), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4b_pool_proj,6786,1568,1568,5218,52597.14582374401,0,0.0,524288,524288,4014080,4014080,3211264,1605632,3211264,1605632,4014080,4014080,2932736,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (4, 128), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
32,32,4,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4c_1x1,9227,3136,3136,6091,92802.96982220799,0,1572864.0,1048576,1048576,27295744,27295744,6422528,6422528,6422528,6422528,27295744,27295744,4259840,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (16, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,4,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4c_3x3_reduce,9227,3136,3136,6091,92802.96982220799,0,1572864.0,1048576,1048576,27295744,27295744,6422528,6422528,6422528,6422528,27295744,27295744,4259840,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (16, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4c_3x3,24640,14112,14112,10528,194451.404701696,0,0.0,4718592,4718592,32112640,32112640,28901376,524288,28901376,524288,32112640,32112640,8454144,3211264,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 128), 'OC/oc': (8, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4c_5x5_reduce,4143,784,784,3359,33030.884113344,0,0.0,196608,196608,1505280,1505280,1605632,1605632,1605632,1605632,1505280,1505280,2103296,301056,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (4, 128), 'OC/oc': (1, 24)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4c_5x5,5236,1960,1960,3276,36087.05037088,0,0.0,614400,614400,4816896,4816896,3763200,124416,3763200,124416,4816896,4816896,1541632,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 24), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,1,4,12.5,0.61,0.61,16,16,GoogleNet,inception_4c_pool_proj,6786,1568,1568,5218,52597.14582374401,0,0.0,524288,524288,4014080,4014080,3211264,1605632,3211264,1605632,4014080,4014080,2932736,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (4, 128), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
