,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,11,11,GoogleNet,conv1,58119,1724810.449426354,8
1,32,32,11,11,GoogleNet,conv2_3x3_reduce,15122,421839.5415786241,14
2,32,32,11,11,GoogleNet,conv2_3x3,49686,1649732.080193536,6
3,32,32,11,11,GoogleNet,inception_3a_1x1,6395,146886.393053184,12
4,32,32,11,11,GoogleNet,inception_3a_3x3_reduce,8871,202257.885517056,18
5,32,32,11,11,GoogleNet,inception_3a_3x3,18274,358424.550957696,4
6,32,32,11,11,GoogleNet,inception_3a_5x5_reduce,2933,64839.533076096006,6
7,32,32,11,11,GoogleNet,inception_3a_5x5,3440,71877.76054272,1
8,32,32,11,11,GoogleNet,inception_3a_pool_proj,3919,91514.900589312,6
9,32,32,11,11,GoogleNet,inception_3b_1x1,12566,279645.53125990403,32
10,32,32,11,11,GoogleNet,inception_3b_3x3_reduce,12566,279645.53125990403,32
11,32,32,11,11,GoogleNet,inception_3b_3x3,25293,678991.5588003839,12
12,32,32,11,11,GoogleNet,inception_3b_5x5_reduce,4584,106054.79094041602,8
13,32,32,11,11,GoogleNet,inception_3b_5x5,12916,253202.71215104,3
14,32,32,11,11,GoogleNet,inception_3b_pool_proj,7245,163918.371046912,16
15,32,32,11,11,GoogleNet,inception_4a_1x1,6287,131133.99835872,15
16,32,32,11,11,GoogleNet,inception_4a_3x3_reduce,4639,83717.36953776001,15
17,32,32,11,11,GoogleNet,inception_4a_3x3,9489,187093.384552864,294
18,32,32,11,11,GoogleNet,inception_4a_5x5_reduce,2005,43673.243741440005,15
19,32,32,11,11,GoogleNet,inception_4a_5x5,2001,40546.02317504,1
20,32,32,11,11,GoogleNet,inception_4a_pool_proj,3573,80966.52558976,30
21,32,32,11,11,GoogleNet,inception_4b_1x1,5977,119524.65862596,16
22,32,32,11,11,GoogleNet,inception_4b_3x3_reduce,5233,97976.960351816,16
23,32,32,11,11,GoogleNet,inception_4b_3x3,11152,198290.35960053603,14
24,32,32,11,11,GoogleNet,inception_4b_5x5_reduce,2311,52117.084799424,16
25,32,32,11,11,GoogleNet,inception_4b_5x5,2890,61510.03554336,2
26,32,32,11,11,GoogleNet,inception_4b_pool_proj,3726,84235.617094144,32
27,32,32,11,11,GoogleNet,inception_4c_1x1,5419,103363.884920352,16
28,32,32,11,11,GoogleNet,inception_4c_3x3_reduce,5419,103363.884920352,16
29,32,32,11,11,GoogleNet,inception_4c_3x3,12935,269399.609424192,196
30,32,32,11,11,GoogleNet,inception_4c_5x5_reduce,2311,52117.084799424,16
31,32,32,11,11,GoogleNet,inception_4c_5x5,2890,61510.03554336,2
32,32,32,11,11,GoogleNet,inception_4c_pool_proj,3726,84235.617094144,32
33,32,32,11,11,GoogleNet,inception_4d_1x1,5233,97976.960351816,16
34,32,32,11,11,GoogleNet,inception_4d_3x3_reduce,5791,114137.734057424,16
35,32,32,11,11,GoogleNet,inception_4d_3x3,15006,284258.0790812641,14
36,32,32,11,11,GoogleNet,inception_4d_5x5_reduce,2504,58181.54549171201,16
37,32,32,11,11,GoogleNet,inception_4d_5x5,3407,71203.27870848001,2
38,32,32,11,11,GoogleNet,inception_4d_pool_proj,3726,84235.617094144,32
39,32,32,11,11,GoogleNet,inception_4e_1x1,7889,172310.542877184,14
40,32,32,11,11,GoogleNet,inception_4e_3x3_reduce,6204,122739.80734392,14
41,32,32,11,11,GoogleNet,inception_4e_3x3,16950,331304.08668719995,70
42,32,32,11,11,GoogleNet,inception_4e_5x5_reduce,2577,59625.848403328,1
43,32,32,11,11,GoogleNet,inception_4e_5x5,5881,134661.54139008,4
44,32,32,11,11,GoogleNet,inception_4e_pool_proj,5641,106216.228832832,14
45,32,32,11,11,GoogleNet,inception_5a_1x1,3534,128131.308470656,208
46,32,32,11,11,GoogleNet,inception_5a_3x3_reduce,2405,84976.48764448,130
47,32,32,11,11,GoogleNet,inception_5a_3x3,5733,229484.42348,50
48,32,32,11,11,GoogleNet,inception_5a_5x5_reduce,1081,27436.726542912,26
49,32,32,11,11,GoogleNet,inception_5a_5x5,1707,59884.95589600001,4
50,32,32,11,11,GoogleNet,inception_5a_pool_proj,2028,70591.547369088,52
51,32,32,11,11,GoogleNet,inception_5b_1x1,5040,185671.069572224,12
52,32,32,11,11,GoogleNet,inception_5b_3x3_reduce,2781,99361.427919872,78
53,32,32,11,11,GoogleNet,inception_5b_3x3,7779,318555.01909593603,12
54,32,32,11,11,GoogleNet,inception_5b_5x5_reduce,1451,34994.055662368,26
55,32,32,11,11,GoogleNet,inception_5b_5x5,2158,82970.239892,12
56,32,32,11,11,GoogleNet,inception_5b_pool_proj,2028,70591.547369088,52
57,32,32,11,11,GoogleNet,fc,8404,223200.590664882,16
58,32,32,11,11,RESNET-50,conv1,58119,1724810.449426354,8
59,32,32,11,11,RESNET-50,conv2_1_a,15122,421839.5415786241,14
60,32,32,11,11,RESNET-50,conv2_1_b,18882,609346.337665024,28
61,32,32,11,11,RESNET-50,conv2_1_c,55589,1455475.860108288,112
62,32,32,11,11,RESNET-50,conv2_2_a,23200,640274.3702384641,2
63,32,32,11,11,RESNET-50,conv2_2_b,18882,609346.337665024,28
64,32,32,11,11,RESNET-50,conv2_2_c,55589,1455475.860108288,112
65,32,32,11,11,RESNET-50,conv2_3_a,23200,640274.3702384641,2
66,32,32,11,11,RESNET-50,conv2_3_b,18882,609346.337665024,28
67,32,32,11,11,RESNET-50,conv2_3_c,55589,1455475.860108288,112
68,32,32,11,11,RESNET-50,conv3_1_a,13297,301965.368136832,1568
69,32,32,11,11,RESNET-50,conv3_1_b,21652,414039.095228928,8
70,32,32,11,11,RESNET-50,conv3_1_c,27704,755191.051741984,112
71,32,32,11,11,RESNET-50,conv3_2_a,17443,367710.1443758081,64
72,32,32,11,11,RESNET-50,conv3_2_b,21652,414039.095228928,8
73,32,32,11,11,RESNET-50,conv3_2_c,27704,755191.051741984,112
74,32,32,11,11,RESNET-50,conv3_3_a,17443,367710.1443758081,64
75,32,32,11,11,RESNET-50,conv3_3_b,21652,414039.095228928,8
76,32,32,11,11,RESNET-50,conv3_3_c,27704,755191.051741984,112
77,32,32,11,11,RESNET-50,conv3_4_a,17443,367710.1443758081,64
78,32,32,11,11,RESNET-50,conv3_4_b,21652,414039.095228928,8
79,32,32,11,11,RESNET-50,conv3_4_c,27704,755191.051741984,112
80,32,32,11,11,RESNET-50,conv4_1_a,7642,188087.289791552,196
81,32,32,11,11,RESNET-50,conv4_1_b,22463,454982.567160384,392
82,32,32,11,11,RESNET-50,conv4_1_c,15735,450109.146162384,56
83,32,32,11,11,RESNET-50,conv4_2_a,11884,252197.307797568,32
84,32,32,11,11,RESNET-50,conv4_2_b,22463,454982.567160384,392
85,32,32,11,11,RESNET-50,conv4_2_c,15735,450109.146162384,56
86,32,32,11,11,RESNET-50,conv4_3_a,11884,252197.307797568,32
87,32,32,11,11,RESNET-50,conv4_3_b,22463,454982.567160384,392
88,32,32,11,11,RESNET-50,conv4_3_c,15735,450109.146162384,56
89,32,32,11,11,RESNET-50,conv4_4_a,11884,252197.307797568,32
90,32,32,11,11,RESNET-50,conv4_4_b,22463,454982.567160384,392
91,32,32,11,11,RESNET-50,conv4_4_c,15735,450109.146162384,56
92,32,32,11,11,RESNET-50,conv4_5_a,11884,252197.307797568,32
93,32,32,11,11,RESNET-50,conv4_5_b,22463,454982.567160384,392
94,32,32,11,11,RESNET-50,conv4_5_c,15735,450109.146162384,56
95,32,32,11,11,RESNET-50,conv4_6_a,11884,252197.307797568,32
96,32,32,11,11,RESNET-50,conv4_6_b,22463,454982.567160384,392
97,32,32,11,11,RESNET-50,conv4_6_c,15735,450109.146162384,56
98,32,32,11,11,RESNET-50,conv5_1_a,7465,303091.36456396803,896
99,32,32,11,11,RESNET-50,conv5_1_b,21344,692770.5442108581,16
100,32,32,11,11,RESNET-50,conv5_1_c,15316,446994.003002162,16
101,32,32,11,11,RESNET-50,conv5_2_a,11067,352040.016309898,32
102,32,32,11,11,RESNET-50,conv5_2_b,21344,692770.5442108581,16
103,32,32,11,11,RESNET-50,conv5_2_c,15316,446994.003002162,16
104,32,32,11,11,RESNET-50,conv5_3_a,11067,352040.016309898,32
105,32,32,11,11,RESNET-50,conv5_3_b,21344,692770.5442108581,16
106,32,32,11,11,RESNET-50,conv5_3_c,15316,446994.003002162,16
107,32,32,11,11,MobileNet-v1,conv1,28186,765822.474863421,7
108,32,32,11,11,MobileNet-v1,conv2-dw,71904,917145.821228064,32
109,32,32,11,11,MobileNet-v1,conv3,57100,1512885.589268736,56
110,32,32,11,11,MobileNet-v1,conv4-dw,45376,653116.270026688,64
111,32,32,11,11,MobileNet-v1,conv5,28611,766237.502961408,14
112,32,32,11,11,MobileNet-v1,conv6-dw,79232,1017945.832386176,128
113,32,32,11,11,MobileNet-v1,conv7,30311,861941.792418816,28
114,32,32,11,11,MobileNet-v1,conv8-dw,23168,335938.08069465606,128
115,32,32,11,11,MobileNet-v1,conv9,14546,398157.382341888,112
116,32,32,11,11,MobileNet-v1,conv10-dw,40704,529023.643560192,256
117,32,32,11,11,MobileNet-v1,conv11,15637,460289.6989923841,56
118,32,32,11,11,MobileNet-v1,conv12-dw,16128,231327.41122227203,256
119,32,32,11,11,MobileNet-v1,conv13,11207,234310.394770536,8
120,32,32,11,11,MobileNet-v1,conv14-dw,28160,369714.63012198405,512
121,32,32,11,11,MobileNet-v1,conv15,15062,304479.84665207204,16
122,32,32,11,11,MobileNet-v1,conv16-dw,28160,369714.63012198405,512
123,32,32,11,11,MobileNet-v1,conv17,15062,304479.84665207204,16
124,32,32,11,11,MobileNet-v1,conv18-dw,28160,369714.63012198405,512
125,32,32,11,11,MobileNet-v1,conv19,15062,304479.84665207204,16
126,32,32,11,11,MobileNet-v1,conv20-dw,28160,369714.63012198405,512
127,32,32,11,11,MobileNet-v1,conv21,15062,304479.84665207204,16
128,32,32,11,11,MobileNet-v1,conv22-dw,28160,369714.63012198405,512
129,32,32,11,11,MobileNet-v1,conv23,15062,304479.84665207204,16
