N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv1,74115,25088,25088,49027,1399527.936140096,0,225792.0,7375872,150528,102760448,102760448,59006976,3219888,59006976,3219888,102760448,102760448,54750640,51380224,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (7, 16), 'IC/ic': (1, 3), 'OC/oc': (1, 64)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",oc,Weight Stationary,2864,2097152.0,262144.0,524288.0,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,20229,1568,1568,18661,370239.311704064,65536,0.0,1835008,131072,25690112,25690112,3211264,3211264,3211264,3211264,25690112,25690112,16121856,12845056,"{'B/b': (1, 1), 'OW/ow': (14, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",of,Weight Stationary,2864,1048576.0,262144.0,262144.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,58541,47040,47040,11501,1189975.658594304,0,2654208.0,24772608,1769472,231211008,231211008,86704128,4988928,86704128,4988928,231211008,231211008,45293568,38535168,"{'B/b': (1, 1), 'OW/ow': (14, 4), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (3, 64)}","('OW/ow', 'OH/oh', 'OC/oc', 'B/b', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,262144.0,524288.0,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,6305,1176,1176,5129,118062.587851776,196608,0.0,2752512,393216,12845056,12845056,2408448,2408448,2408448,2408448,12845056,12845056,5816320,3211264,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 64)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",of,Weight Stationary,2864,1048576.0,262144.0,262144.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,8617,2352,2352,6265,161833.948096512,0,442368.0,2064384,294912,9633792,9633792,7225344,2408448,7225344,2408448,9633792,9633792,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 192), 'OC/oc': (1, 96)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",oc,Weight Stationary,2864,2097152.0,262144.0,524288.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,12911,10976,10976,1935,267117.454962688,0,2654208.0,49545216,1769472,51380224,51380224,21676032,3870720,21676032,3870720,51380224,51380224,12062720,6422528,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (1, 96), 'OC/oc': (1, 128)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",oc,Weight Stationary,2864,2097152.0,262144.0,524288.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,2839,588,588,2251,53094.29879654401,49152,0.0,196608,196608,3211264,3211264,2408448,2408448,2408448,2408448,3211264,3211264,3260416,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 16)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",of,Weight Stationary,2864,524288.0,131072.0,131072.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,2708,1568,1568,1140,53128.83414784,0,307200.0,1433600,204800,4816896,4816896,5017600,458752,5017600,458752,4816896,4816896,2269184,1605632,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (2, 8), 'OC/oc': (1, 32)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",oc,Weight Stationary,2864,2097152.0,262144.0,524288.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,3995,588,588,3407,74355.076520448,98304,0.0,393216,393216,6422528,6422528,2408448,2408448,2408448,2408448,6422528,6422528,4112384,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",of,Weight Stationary,2864,524288.0,131072.0,131072.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,11580,3136,3136,8444,218285.90154956802,0,786432.0,3670016,524288,19267584,19267584,6422528,3211264,6422528,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (2, 128), 'OC/oc': (1, 128)}","('OC/oc', 'OW/ow', 'IC/ic', 'OH/oh', 'B/b')",oc,Weight Stationary,2864,2097152.0,262144.0,524288.0,0.0,0.0,1
