N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,conv1,67940,57760,57760,10180,1670659.505999946,301056,903168.0,1354752,1354752,319389696,319389696,244532736,2834352,244532736,2834352,319389696,319389696,56216496,53231616,"{'B/b': (1, 1), 'OW/ow': (1, 38), 'OH/oh': (1, 38), 'IC/ic': (1, 3), 'OC/oc': (8, 8)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,18629,1444,1444,17185,393879.74794931203,131072,393216.0,589824,589824,39923712,39923712,6653952,3326976,6653952,3326976,39923712,39923712,16700416,13307904,"{'B/b': (1, 1), 'OW/ow': (1, 19), 'OH/oh': (1, 19), 'IC/ic': (1, 64), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,53187,38988,38988,14199,1458986.414713344,3538944,10616832.0,15925248,15925248,758550528,758550528,179656704,4064256,179656704,4064256,758550528,758550528,45757440,39923712,"{'B/b': (1, 1), 'OW/ow': (1, 19), 'OH/oh': (1, 19), 'IC/ic': (1, 64), 'OC/oc': (6, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,7616,1200,1200,6416,143317.929455616,393216,1179648.0,1769472,1769472,25804800,25804800,5529600,2764800,5529600,2764800,25804800,25804800,6647808,3686400,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (6, 32), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,10565,1800,1800,8765,197374.585031424,589824,1769472.0,2654208,2654208,38707200,38707200,8294400,2764800,8294400,2764800,38707200,38707200,8589312,5529600,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (6, 32), 'OC/oc': (3, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,21319,15552,15552,5767,493083.58216089604,3538944,10616832.0,63700992,15925248,297271296,297271296,71663616,3538944,71663616,3538944,297271296,297271296,15925248,10616832,"{'B/b': (1, 1), 'OW/ow': (2, 6), 'OH/oh': (2, 6), 'IC/ic': (3, 32), 'OC/oc': (4, 32)}","('OC/oc', 'OH/oh', 'OW/ow', 'B/b', 'IC/ic')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,3492,600,600,2892,63323.444843904,98304,294912.0,442368,442368,6451200,6451200,2764800,2764800,2764800,2764800,6451200,6451200,3735552,921600,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (6, 32), 'OC/oc': (1, 16)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,3997,1300,1300,2697,68212.42150592,409600,1228800.0,1843200,1843200,25804800,25804800,5760000,451584,5760000,451584,25804800,25804800,2499584,1843200,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,4667,600,600,4067,89261.273879808,196608,589824.0,884736,884736,12902400,12902400,2764800,2764800,2764800,2764800,12902400,12902400,4706304,1843200,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (6, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,14968,3200,3200,11768,273040.057342976,1048576,3145728.0,4718592,4718592,66355200,66355200,14745600,3686400,14745600,3686400,66355200,66355200,11583488,7372800,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (8, 32), 'OC/oc': (4, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,9,9,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,14968,3200,3200,11768,273040.057342976,1048576,3145728.0,4718592,4718592,66355200,66355200,14745600,3686400,14745600,3686400,66355200,66355200,11583488,7372800,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 10), 'IC/ic': (8, 32), 'OC/oc': (4, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
