,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,128,32,1,4,GoogleNet,conv1,147708,1489870.317330598,14
1,64,64,1,4,GoogleNet,conv2_3x3_reduce,40458,378105.499979776,7
2,64,64,1,4,GoogleNet,conv2_3x3,115919,1355200.681779712,21
3,64,32,2,4,GoogleNet,inception_3a_1x1,12610,124581.249775616,42
4,64,32,2,4,GoogleNet,inception_3a_3x3_reduce,17232,170445.89551718402,63
5,32,64,2,4,GoogleNet,inception_3a_3x3,25179,323638.163083264,42
6,64,32,2,4,GoogleNet,inception_3a_5x5_reduce,5677,59316.158630912,21
7,64,32,2,4,GoogleNet,inception_3a_5x5,7928,57663.23373056,1
8,64,32,2,4,GoogleNet,inception_3a_pool_proj,7987,81124.817422336,84
9,128,32,1,4,GoogleNet,inception_3b_1x1,23158,231184.891170816,112
10,128,32,1,4,GoogleNet,inception_3b_3x3_reduce,23158,231184.891170816,112
11,128,32,1,4,GoogleNet,inception_3b_3x3,48498,498458.006808576,168
12,64,32,2,4,GoogleNet,inception_3b_5x5_reduce,9154,94502.09631129602,4
13,64,32,2,4,GoogleNet,inception_3b_5x5,20129,218529.06937344,42
14,64,32,2,4,GoogleNet,inception_3b_pool_proj,13823,138902.25841971202,4
15,32,32,4,4,GoogleNet,inception_4a_1x1,13378,122245.76420352,90
16,32,32,4,4,GoogleNet,inception_4a_3x3_reduce,7474,74195.65288704,15
17,64,32,2,4,GoogleNet,inception_4a_3x3,18690,153932.22638873602,7
18,128,32,1,4,GoogleNet,inception_4a_5x5_reduce,3620,28123.10276544,1
19,64,64,1,4,GoogleNet,inception_4a_5x5,3599,24606.578030720004,1
20,128,32,1,4,GoogleNet,inception_4a_pool_proj,6601,50833.07054976,2
21,32,32,4,4,GoogleNet,inception_4b_1x1,11885,108683.8294848,80
22,32,32,4,4,GoogleNet,inception_4b_3x3_reduce,8483,84956.54036979201,16
23,64,32,2,4,GoogleNet,inception_4b_3x3,20267,166998.584616192,7
24,128,32,1,4,GoogleNet,inception_4b_5x5_reduce,4143,33030.884113344,4
25,128,32,1,4,GoogleNet,inception_4b_5x5,5236,36087.05037088,2
26,128,32,1,4,GoogleNet,inception_4b_pool_proj,6786,52597.14582374401,8
27,32,32,4,4,GoogleNet,inception_4c_1x1,9227,92802.969822208,16
28,32,32,4,4,GoogleNet,inception_4c_3x3_reduce,9227,92802.969822208,16
29,128,32,1,4,GoogleNet,inception_4c_3x3,24640,194451.404701696,8
30,128,32,1,4,GoogleNet,inception_4c_5x5_reduce,4143,33030.884113344,4
31,128,32,1,4,GoogleNet,inception_4c_5x5,5236,36087.05037088,2
32,128,32,1,4,GoogleNet,inception_4c_pool_proj,6786,52597.14582374401,8
33,32,32,4,4,GoogleNet,inception_4d_1x1,8483,84956.54036979201,16
34,32,32,4,4,GoogleNet,inception_4d_3x3_reduce,11312,100917.885867136,16
35,128,32,1,4,GoogleNet,inception_4d_3x3,29024,289984.766086656,36
36,128,32,1,4,GoogleNet,inception_4d_5x5_reduce,4515,36520.950967552,4
37,64,64,1,4,GoogleNet,inception_4d_5x5,6168,41873.87693184,1
38,128,32,1,4,GoogleNet,inception_4d_pool_proj,6786,52597.14582374401,8
39,64,32,2,4,GoogleNet,inception_4e_1x1,18718,157387.28313228802,8
40,32,32,4,4,GoogleNet,inception_4e_3x3_reduce,12270,112301.6956576,85
41,128,32,1,4,GoogleNet,inception_4e_3x3,30336,308034.2146048,20
42,64,32,2,4,GoogleNet,inception_4e_5x5_reduce,4694,38121.608288896,1
43,32,32,4,4,GoogleNet,inception_4e_5x5,10304,90595.13179264,4
44,32,32,4,4,GoogleNet,inception_4e_pool_proj,9493,95342.523849728,14
45,64,32,2,4,GoogleNet,inception_5a_1x1,8365,87551.693980672,104
46,64,32,2,4,GoogleNet,inception_5a_3x3_reduce,5618,58279.38681088,65
47,128,32,1,4,GoogleNet,inception_5a_3x3,13391,140264.9904592,10
48,128,32,1,4,GoogleNet,inception_5a_5x5_reduce,2131,17338.173112832003,1
49,64,64,1,4,GoogleNet,inception_5a_5x5,4771,36152.90990816,2
50,64,64,1,4,GoogleNet,inception_5a_pool_proj,5687,44513.869760128,26
51,128,32,1,4,GoogleNet,inception_5b_1x1,11415,116695.573481344,12
52,64,32,2,4,GoogleNet,inception_5b_3x3_reduce,6535,68036.82253414401,78
53,128,32,1,4,GoogleNet,inception_5b_3x3,18540,194644.233672576,6
54,64,64,1,4,GoogleNet,inception_5b_5x5_reduce,2862,22253.920147008,13
55,64,32,2,4,GoogleNet,inception_5b_5x5,4904,52968.53524224,4
56,64,64,1,4,GoogleNet,inception_5b_pool_proj,5687,44513.869760128,26
57,32,128,1,4,GoogleNet,fc,23085,226461.74953288003,512
58,128,32,1,4,RESNET-50,conv1,147708,1489870.317330598,14
59,64,64,1,4,RESNET-50,conv2_1_a,40458,378105.499979776,7
60,64,64,1,4,RESNET-50,conv2_1_b,42512,487025.103880704,7
61,64,64,1,4,RESNET-50,conv2_1_c,148372,1389753.463250944,28
62,128,32,1,4,RESNET-50,conv2_2_a,54187,533836.756393984,28
63,64,64,1,4,RESNET-50,conv2_2_b,42512,487025.103880704,7
64,64,64,1,4,RESNET-50,conv2_2_c,148372,1389753.463250944,28
65,128,32,1,4,RESNET-50,conv2_3_a,54187,533836.756393984,28
66,64,64,1,4,RESNET-50,conv2_3_b,42512,487025.103880704,7
67,64,64,1,4,RESNET-50,conv2_3_c,148372,1389753.463250944,28
68,128,32,1,4,RESNET-50,conv3_1_a,23159,244668.605648896,6272
69,128,32,1,4,RESNET-50,conv3_1_b,32418,354210.43370598403,112
70,128,32,1,4,RESNET-50,conv3_1_c,75468,725897.3681704961,112
71,128,32,1,4,RESNET-50,conv3_2_a,28375,299816.276037632,224
72,128,32,1,4,RESNET-50,conv3_2_b,32418,354210.43370598403,112
73,128,32,1,4,RESNET-50,conv3_2_c,75468,725897.3681704961,112
74,128,32,1,4,RESNET-50,conv3_3_a,28375,299816.276037632,224
75,128,32,1,4,RESNET-50,conv3_3_b,32418,354210.43370598403,112
76,128,32,1,4,RESNET-50,conv3_3_c,75468,725897.3681704961,112
77,128,32,1,4,RESNET-50,conv3_4_a,28375,299816.276037632,224
78,128,32,1,4,RESNET-50,conv3_4_b,32418,354210.43370598403,112
79,128,32,1,4,RESNET-50,conv3_4_c,75468,725897.3681704961,112
80,32,32,4,4,RESNET-50,conv4_1_a,17669,175075.965351936,6272
81,128,32,1,4,RESNET-50,conv4_1_b,39484,307626.056251392,16
82,128,32,1,4,RESNET-50,conv4_1_c,42860,429995.002058752,32
83,64,32,2,4,RESNET-50,conv4_2_a,26367,225213.849135104,128
84,128,32,1,4,RESNET-50,conv4_2_b,39484,307626.056251392,16
85,128,32,1,4,RESNET-50,conv4_2_c,42860,429995.002058752,32
86,64,32,2,4,RESNET-50,conv4_3_a,26367,225213.849135104,128
87,128,32,1,4,RESNET-50,conv4_3_b,39484,307626.056251392,16
88,128,32,1,4,RESNET-50,conv4_3_c,42860,429995.002058752,32
89,64,32,2,4,RESNET-50,conv4_4_a,26367,225213.849135104,128
90,128,32,1,4,RESNET-50,conv4_4_b,39484,307626.056251392,16
91,128,32,1,4,RESNET-50,conv4_4_c,42860,429995.002058752,32
92,64,32,2,4,RESNET-50,conv4_5_a,26367,225213.849135104,128
93,128,32,1,4,RESNET-50,conv4_5_b,39484,307626.056251392,16
94,128,32,1,4,RESNET-50,conv4_5_c,42860,429995.002058752,32
95,64,32,2,4,RESNET-50,conv4_6_a,26367,225213.849135104,128
