,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,64,5,10,GoogleNet,conv1,60802,1496361.83585749,7
1,64,32,5,10,GoogleNet,conv2_3x3_reduce,16408,394938.55643712,14
2,64,32,5,10,GoogleNet,conv2_3x3,49444,1381260.39063808,6
3,64,32,5,10,GoogleNet,inception_3a_1x1,6157,133274.69223232003,84
4,64,32,5,10,GoogleNet,inception_3a_3x3_reduce,8179,180892.6009472,84
5,64,32,5,10,GoogleNet,inception_3a_3x3,19116,292301.35024128,4
6,64,32,5,10,GoogleNet,inception_3a_5x5_reduce,2935,58173.22641408,3
7,64,32,5,10,GoogleNet,inception_3a_5x5,3443,60159.75904,1
8,64,32,5,10,GoogleNet,inception_3a_pool_proj,3924,81562.41140736,3
9,64,32,5,10,GoogleNet,inception_3b_1x1,10787,240579.46675232,112
10,64,32,5,10,GoogleNet,inception_3b_3x3_reduce,10787,240579.46675232,112
11,64,32,5,10,GoogleNet,inception_3b_3x3,24911,540734.0942131199,12
12,64,32,5,10,GoogleNet,inception_3b_5x5_reduce,4591,94236.17595648,4
13,64,32,5,10,GoogleNet,inception_3b_5x5,13464,206891.051648,3
14,64,32,5,10,GoogleNet,inception_3b_pool_proj,6994,150184.02216976,112
15,32,32,10,10,GoogleNet,inception_4a_1x1,5730,133073.3684448,90
16,64,32,5,10,GoogleNet,inception_4a_3x3_reduce,3763,72409.6599552,3
17,64,32,5,10,GoogleNet,inception_4a_3x3,8071,164132.43818304,7
18,64,32,5,10,GoogleNet,inception_4a_5x5_reduce,1547,29804.1070512,1
19,64,32,5,10,GoogleNet,inception_4a_5x5,1572,27028.9044624,1
20,64,32,5,10,GoogleNet,inception_4a_pool_proj,2810,55118.4490848,2
21,64,32,5,10,GoogleNet,inception_4b_1x1,5441,103222.90971776,8
22,64,32,5,10,GoogleNet,inception_4b_3x3_reduce,4500,84159.51548256,8
23,64,32,5,10,GoogleNet,inception_4b_3x3,8757,178286.26650688,7
24,64,32,5,10,GoogleNet,inception_4b_5x5_reduce,1769,35428.79506032,8
25,64,32,5,10,GoogleNet,inception_4b_5x5,2280,40865.7915576,2
26,64,32,5,10,GoogleNet,inception_4b_pool_proj,2888,57112.11702912,16
27,64,32,5,10,GoogleNet,inception_4c_1x1,4814,92319.13822464,32
28,64,32,5,10,GoogleNet,inception_4c_3x3_reduce,4814,92319.13822464,32
29,64,32,5,10,GoogleNet,inception_4c_3x3,10516,218441.39437568,16
30,64,32,5,10,GoogleNet,inception_4c_5x5_reduce,1769,35428.79506032,8
31,64,32,5,10,GoogleNet,inception_4c_5x5,2280,40865.7915576,2
32,64,32,5,10,GoogleNet,inception_4c_pool_proj,2888,57112.11702912,16
33,64,32,5,10,GoogleNet,inception_4d_1x1,4500,84159.51548256,8
34,64,32,5,10,GoogleNet,inception_4d_3x3_reduce,5162,96348.35150612,8
35,64,32,5,10,GoogleNet,inception_4d_3x3,13149,264204.55251072,9
36,64,32,5,10,GoogleNet,inception_4d_5x5_reduce,1925,39508.60643136,8
37,64,32,5,10,GoogleNet,inception_4d_5x5,2692,47087.4161568,2
38,64,32,5,10,GoogleNet,inception_4d_pool_proj,2888,57112.11702912,16
39,64,32,5,10,GoogleNet,inception_4e_1x1,8012,166388.34928992,8
40,64,32,5,10,GoogleNet,inception_4e_3x3_reduce,5688,105614.31710144,1
41,64,32,5,10,GoogleNet,inception_4e_3x3,15450,311917.690432,10
42,64,32,5,10,GoogleNet,inception_4e_5x5_reduce,2002,40564.46997984,1
43,32,32,10,10,GoogleNet,inception_4e_5x5,4473,101033.9960672,4
44,32,32,10,10,GoogleNet,inception_4e_pool_proj,4409,102496.89523136,68
45,64,32,5,10,GoogleNet,inception_5a_1x1,3707,107858.67164288,104
46,64,32,5,10,GoogleNet,inception_5a_3x3_reduce,2513,71861.142368,65
47,64,32,5,10,GoogleNet,inception_5a_3x3,5979,187388.698016,10
48,64,32,5,10,GoogleNet,inception_5a_5x5_reduce,1102,23864.43666816,13
49,64,32,5,10,GoogleNet,inception_5a_5x5,2057,37558.2894718,1
50,64,32,5,10,GoogleNet,inception_5a_pool_proj,2424,47283.21742508,13
51,64,32,5,10,GoogleNet,inception_5b_1x1,5300,155855.37734272,12
52,64,32,5,10,GoogleNet,inception_5b_3x3_reduce,2911,83860.31879296,78
53,64,32,5,10,GoogleNet,inception_5b_3x3,7436,204082.02937139,6
54,64,32,5,10,GoogleNet,inception_5b_5x5_reduce,1483,30211.84668224,13
55,64,32,5,10,GoogleNet,inception_5b_5x5,2185,67539.8401552,96
56,64,32,5,10,GoogleNet,inception_5b_pool_proj,2424,47283.21742508,13
57,64,32,5,10,GoogleNet,fc,9235,222045.1974548,16
