,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,5,5,GoogleNet,conv1,120380,1626099.4548603352,49
1,32,32,5,5,GoogleNet,conv2_3x3_reduce,32816,403133.63491712,28
2,32,32,5,5,GoogleNet,conv2_3x3,99848,1577742.2397721603,42
3,32,32,5,5,GoogleNet,inception_3a_1x1,12313,139411.86573232,168
4,32,32,5,5,GoogleNet,inception_3a_3x3_reduce,14990,222843.26090544,504
5,32,32,5,5,GoogleNet,inception_3a_3x3,23852,361602.37386368,84
6,32,32,5,5,GoogleNet,inception_3a_5x5_reduce,5870,59895.73761408,6
7,32,32,5,5,GoogleNet,inception_3a_5x5,6716,65074.2096,1
8,32,32,5,5,GoogleNet,inception_3a_pool_proj,7847,84024.63380736,6
9,32,32,5,5,GoogleNet,inception_3b_1x1,18760,252539.94474656,112
10,32,32,5,5,GoogleNet,inception_3b_3x3_reduce,18760,252539.94474656,112
11,32,32,5,5,GoogleNet,inception_3b_3x3,43539,567071.10329856,6
12,32,32,5,5,GoogleNet,inception_3b_5x5_reduce,9180,97519.13915648,8
13,32,32,5,5,GoogleNet,inception_3b_5x5,20047,328084.507392,12
14,32,32,5,5,GoogleNet,inception_3b_pool_proj,13923,158366.92016976,56
15,32,32,5,5,GoogleNet,inception_4a_1x1,11460,131521.8658464,90
16,32,32,5,5,GoogleNet,inception_4a_3x3_reduce,6714,77793.099248,15
17,32,32,5,5,GoogleNet,inception_4a_3x3,15847,179935.94450304,7
18,32,32,5,5,GoogleNet,inception_4a_5x5_reduce,3051,30693.9714912,15
19,32,32,5,5,GoogleNet,inception_4a_5x5,3058,28836.4354224,1
20,32,32,5,5,GoogleNet,inception_4a_pool_proj,5433,61056.47574160001,15
21,32,32,5,5,GoogleNet,inception_4b_1x1,9199,110196.88603776,16
22,32,32,5,5,GoogleNet,inception_4b_3x3_reduce,7525,88196.26432284,16
23,32,32,5,5,GoogleNet,inception_4b_3x3,17514,197978.90394688005,7
24,32,32,5,5,GoogleNet,inception_4b_5x5_reduce,3536,36643.80994032,16
25,32,32,5,5,GoogleNet,inception_4b_5x5,4476,43989.4534776,2
26,32,32,5,5,GoogleNet,inception_4b_pool_proj,5667,63751.12908404,16
27,32,32,5,5,GoogleNet,inception_4c_1x1,8084,95529.80489448,16
28,32,32,5,5,GoogleNet,inception_4c_3x3_reduce,8084,95529.80489448,16
29,32,32,5,5,GoogleNet,inception_4c_3x3,20866,243670.55149568,32
30,32,32,5,5,GoogleNet,inception_4c_5x5_reduce,3536,36643.80994032,16
31,32,32,5,5,GoogleNet,inception_4c_5x5,4476,43989.4534776,2
32,32,32,5,5,GoogleNet,inception_4c_pool_proj,5667,63751.12908404,16
33,32,32,5,5,GoogleNet,inception_4d_1x1,7525,88196.26432284,16
34,32,32,5,5,GoogleNet,inception_4d_3x3_reduce,8641,102863.34546612,16
35,32,32,5,5,GoogleNet,inception_4d_3x3,25919,295651.05075072,9
36,32,32,5,5,GoogleNet,inception_4d_5x5_reduce,3849,40910.22627136,16
37,32,32,5,5,GoogleNet,inception_4d_5x5,5299,51252.2987168,2
38,32,32,5,5,GoogleNet,inception_4d_pool_proj,5667,63751.12908404,16
39,32,32,5,5,GoogleNet,inception_4e_1x1,15517,179375.13332416,34
40,32,32,5,5,GoogleNet,inception_4e_3x3_reduce,9460,113142.09025216,14
