,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,9,9,GoogleNet,conv1,67940,1670659.505999946,8
1,32,32,9,9,GoogleNet,conv2_3x3_reduce,18629,393879.747949312,2
2,32,32,9,9,GoogleNet,conv2_3x3,53187,1458986.414713344,6
3,32,32,9,9,GoogleNet,inception_3a_1x1,7616,143317.929455616,12
4,32,32,9,9,GoogleNet,inception_3a_3x3_reduce,10565,197374.585031424,18
5,32,32,9,9,GoogleNet,inception_3a_3x3,21319,493083.582160896,16
6,32,32,9,9,GoogleNet,inception_3a_5x5_reduce,3492,63323.444843904,6
7,32,32,9,9,GoogleNet,inception_3a_5x5,3997,68212.42150592,1
8,32,32,9,9,GoogleNet,inception_3a_pool_proj,4667,89261.273879808,6
9,32,32,9,9,GoogleNet,inception_3b_1x1,14968,273040.057342976,32
10,32,32,9,9,GoogleNet,inception_3b_3x3_reduce,14968,273040.057342976,32
11,32,32,9,9,GoogleNet,inception_3b_3x3,25903,580300.106300928,6
12,32,32,9,9,GoogleNet,inception_3b_5x5_reduce,5459,103464.632639744,8
13,32,32,9,9,GoogleNet,inception_3b_5x5,15181,244021.99281024,3
14,32,32,9,9,GoogleNet,inception_3b_pool_proj,8629,159989.774207488,16
15,32,32,9,9,GoogleNet,inception_4a_1x1,6817,139969.49255712,90
16,32,32,9,9,GoogleNet,inception_4a_3x3_reduce,4373,80986.18949856,45
17,32,32,9,9,GoogleNet,inception_4a_3x3,9426,191043.327690432,7
18,32,32,9,9,GoogleNet,inception_4a_5x5_reduce,1811,32514.99866976,15
19,32,32,9,9,GoogleNet,inception_4a_5x5,1816,30592.20550992,1
20,32,32,9,9,GoogleNet,inception_4a_pool_proj,3273,61325.08847904,30
21,32,32,9,9,GoogleNet,inception_4b_1x1,6057,124441.35117344,80
22,32,32,9,9,GoogleNet,inception_4b_3x3_reduce,5317,94876.868650208,16
23,32,32,9,9,GoogleNet,inception_4b_3x3,10417,209947.705905504,7
24,32,32,9,9,GoogleNet,inception_4b_5x5_reduce,2096,38978.985965616,16
25,32,32,9,9,GoogleNet,inception_4b_5x5,2651,46981.59515208,2
26,32,32,9,9,GoogleNet,inception_4b_pool_proj,3415,63858.387790976005,32
27,32,32,9,9,GoogleNet,inception_4c_1x1,5685,104247.030045952,64
