N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
64,64,3,12,12.5,0.61,0.61,16,16,GoogleNet,conv1,50173,12768,12768,37405,1448816.625994794,301056,0.0,3161088,451584,209190912,209190912,30030336,3020976,30030336,3020976,209190912,209190912,55469232,52297728,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (1, 38), 'IC/ic': (3, 1), 'OC/oc': (1, 64)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,64,3,12,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,13727,1064,1064,12663,380812.17265868804,131072,0.0,1376256,196608,26148864,26148864,3268608,3268608,3268608,3268608,26148864,26148864,16408576,13074432,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 19), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,64,3,12,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,38641,28224,28224,10417,1253756.855322112,8314880,2654208.0,12386304,1769472,385351680,385351680,86704128,12472320,86704128,12472320,385351680,385351680,44462080,38535168,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",oc,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,64,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,5337,840,840,4497,128476.812828672,393216,0.0,589824,589824,13762560,13762560,2580480,2580480,2580480,2580480,13762560,13762560,6217728,3440640,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (3, 64), 'OC/oc': (1, 64)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,7313,1568,1568,5745,169314.599986176,4816896,442368.0,294912,294912,14450688,14450688,7225344,7225344,7225344,7225344,14450688,14450688,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 28), 'IC/ic': (1, 192), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",oc,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,15844,7840,7840,8004,267296.96132044797,3538944,0.0,5308416,5308416,55050240,55050240,46448640,1658880,46448640,1658880,55050240,55050240,10309632,6881280,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (1, 96), 'OC/oc': (4, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,2446,420,420,2026,57894.426164736,98304,0.0,294912,294912,3440640,3440640,2580480,2580480,2580480,2580480,3440640,3440640,3489792,860160,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 10), 'IC/ic': (3, 64), 'OC/oc': (1, 16)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,2858,980,980,1878,59011.53888896,409600,0.0,1228800,1228800,13762560,13762560,5376000,387072,5376000,387072,13762560,13762560,2312192,1720320,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 10), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,3269,420,420,2849,81168.61090867201,196608,0.0,589824,589824,6881280,6881280,2580480,2580480,2580480,2580480,6881280,6881280,4399104,1720320,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 10), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,9609,3136,3136,6473,245349.79413260802,6422528,811008.0,15138816,540672,33116160,33116160,19267584,19267584,19267584,19267584,33116160,33116160,10375168,6623232,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (4, 64), 'OC/oc': (1, 22)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,9609,3136,3136,6473,245349.79413260802,6422528,811008.0,15138816,540672,33116160,33116160,19267584,19267584,19267584,19267584,33116160,33116160,10375168,6623232,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (4, 64), 'OC/oc': (1, 22)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3,24774,14112,14112,10662,485841.284376576,10321920,5308416.0,99090432,3538944,183042048,183042048,86704128,30965760,86704128,30965760,183042048,183042048,18333696,9633792,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (28, 1), 'IC/ic': (2, 64), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'IC/ic', 'OH/oh', 'OC/oc')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5_reduce,3825,560,560,3265,92605.42805964801,262144,0.0,393216,393216,5160960,5160960,3440640,3440640,3440640,3440640,5160960,5160960,5292032,1720320,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (2, 128), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5,11199,5460,5460,5739,201312.94052352,2457600,0.0,7372800,7372800,72253440,72253440,32256000,774144,32256000,774144,72253440,72253440,7163904,5160960,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 10), 'IC/ic': (1, 32), 'OC/oc': (3, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_pool_proj,6048,1120,1120,4928,141400.66445209598,524288,0.0,786432,786432,10321920,10321920,6881280,3440640,6881280,3440640,10321920,10321920,7143424,3440640,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (2, 128), 'OC/oc': (2, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_1x1,5199,1568,1568,3631,111937.67564928002,3010560,2211840.0,1474560,1474560,12042240,12042240,9031680,4515840,9031680,4515840,12042240,12042240,5388288,2408448,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 480), 'OC/oc': (1, 64)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",oc,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3_reduce,2950,784,784,2166,66821.49690624,3010560,1105920.0,737280,737280,6021120,6021120,4515840,4515840,4515840,4515840,6021120,6021120,3446784,1204224,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 480), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",oc,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
64,32,6,12,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3,6710,3430,3430,3280,155119.443806208,6193152,0.0,18579456,18579456,45158400,45158400,20321280,580608,20321280,580608,45158400,45158400,6687744,3010560,"{'B/b': (1, 1), 'OW/ow': (1, 7), 'OH/oh': (1, 5), 'IC/ic': (1, 96), 'OC/oc': (7, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
128,32,3,12,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_5x5_reduce,1290,280,280,1010,29103.86781792,245760,0.0,368640,368640,1075200,1075200,1612800,1612800,1612800,1612800,1075200,1075200,1950720,215040,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 5), 'IC/ic': (1, 480), 'OC/oc': (1, 16)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,1048576.0,1048576.0,1048576.0,0.0,0.0,1
