,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,13,13,GoogleNet,conv1,47610,1571070.267885942,4
1,32,32,13,13,GoogleNet,conv2_3x3_reduce,14421,482637.3518208,8
2,32,32,13,13,GoogleNet,conv2_3x3,41527,1620333.7713287682,6
3,32,32,13,13,GoogleNet,inception_3a_1x1,6380,172810.597404672,12
4,32,32,13,13,GoogleNet,inception_3a_3x3_reduce,8848,237858.427669248,18
5,32,32,13,13,GoogleNet,inception_3a_3x3,18239,416550.938026368,4
6,32,32,13,13,GoogleNet,inception_3a_5x5_reduce,2929,76343.590493568,6
7,32,32,13,13,GoogleNet,inception_3a_5x5,3424,84116.54027776001,1
8,32,32,13,13,GoogleNet,inception_3a_pool_proj,3911,107762.767140096,6
9,32,32,13,13,GoogleNet,inception_3b_1x1,12133,272150.37812384,56
10,32,32,13,13,GoogleNet,inception_3b_3x3_reduce,12133,272150.37812384,56
11,32,32,13,13,GoogleNet,inception_3b_3x3,25247,787442.161462272,12
12,32,32,13,13,GoogleNet,inception_3b_5x5_reduce,4574,124815.871824128,8
13,32,32,13,13,GoogleNet,inception_3b_5x5,12884,294349.49036032,3
14,32,32,13,13,GoogleNet,inception_3b_pool_proj,7224,192678.494480896,16
15,32,32,13,13,GoogleNet,inception_4a_1x1,5730,132437.2983672,15
16,32,32,13,13,GoogleNet,inception_4a_3x3_reduce,4448,88843.37261055999,15
17,32,32,13,13,GoogleNet,inception_4a_3x3,8827,190402.984928768,294
18,32,32,13,13,GoogleNet,inception_4a_5x5_reduce,1996,51199.28020352,15
19,32,32,13,13,GoogleNet,inception_4a_5x5,1977,46995.80775232,1
20,32,32,13,13,GoogleNet,inception_4a_pool_proj,3535,94327.31700608,30
21,32,32,13,13,GoogleNet,inception_4b_1x1,5598,124403.659970504,16
22,32,32,13,13,GoogleNet,inception_4b_3x3_reduce,4853,98932.746970152,16
23,32,32,13,13,GoogleNet,inception_4b_3x3,10455,203943.13384334405,14
24,32,32,13,13,GoogleNet,inception_4b_5x5_reduce,2296,61009.051286592,16
25,32,32,13,13,GoogleNet,inception_4b_5x5,2842,70988.22091488,2
26,32,32,13,13,GoogleNet,inception_4b_pool_proj,3685,98100.095780352,32
27,32,32,13,13,GoogleNet,inception_4c_1x1,5039,105300.47522024,16
28,32,32,13,13,GoogleNet,inception_4c_3x3_reduce,5039,105300.47522024,16
29,32,32,13,13,GoogleNet,inception_4c_3x3,11956,271636.32033808006,196
30,32,32,13,13,GoogleNet,inception_4c_5x5_reduce,2296,61009.051286592,16
31,32,32,13,13,GoogleNet,inception_4c_5x5,2842,70988.22091488,2
32,32,32,13,13,GoogleNet,inception_4c_pool_proj,3685,98100.095780352,32
33,32,32,13,13,GoogleNet,inception_4d_1x1,4853,98932.746970152,16
34,32,32,13,13,GoogleNet,inception_4d_3x3_reduce,5411,118035.931720416,16
35,32,32,13,13,GoogleNet,inception_4d_3x3,13972,290504.98265460803,14
36,32,32,13,13,GoogleNet,inception_4d_5x5_reduce,2484,68034.464279296,16
37,32,32,13,13,GoogleNet,inception_4d_5x5,3343,81882.00429184,2
38,32,32,13,13,GoogleNet,inception_4d_pool_proj,3685,98100.095780352,32
39,32,32,13,13,GoogleNet,inception_4e_1x1,7131,173328.8963792,14
40,32,32,13,13,GoogleNet,inception_4e_3x3_reduce,5820,127754.038768624,14
41,32,32,13,13,GoogleNet,inception_4e_3x3,15595,332494.6062044,70
42,32,32,13,13,GoogleNet,inception_4e_5x5_reduce,2556,69713.73083302399,1
43,32,32,13,13,GoogleNet,inception_4e_5x5,5849,154610.80782463998,4
44,32,32,13,13,GoogleNet,inception_4e_pool_proj,5257,108221.95693552,14
45,32,32,13,13,GoogleNet,inception_5a_1x1,3287,143544.492178048,52
46,32,32,13,13,GoogleNet,inception_5a_3x3_reduce,2268,95499.62197984,130
47,32,32,13,13,GoogleNet,inception_5a_3x3,5202,254153.39284,50
48,32,32,13,13,GoogleNet,inception_5a_5x5_reduce,1047,31439.795048896,26
49,32,32,13,13,GoogleNet,inception_5a_5x5,1675,66983.024968,4
50,32,32,13,13,GoogleNet,inception_5a_pool_proj,1919,79484.665247104,104
51,32,32,13,13,GoogleNet,inception_5b_1x1,4656,207604.31910899203,78
52,32,32,13,13,GoogleNet,inception_5b_3x3_reduce,2617,111514.578712576,156
53,32,32,13,13,GoogleNet,inception_5b_3x3,6986,351914.234844288,72
54,32,32,13,13,GoogleNet,inception_5b_5x5_reduce,1401,39846.20675734399,26
55,32,32,13,13,GoogleNet,inception_5b_5x5,2142,92325.908236,12
56,32,32,13,13,GoogleNet,inception_5b_pool_proj,1919,79484.665247104,104
57,32,32,13,13,GoogleNet,fc,7111,223464.050443442,32
58,32,32,13,13,RESNET-50,conv1,47610,1571070.267885942,4
59,32,32,13,13,RESNET-50,conv2_1_a,14421,482637.3518208,8
60,32,32,13,13,RESNET-50,conv2_1_b,15872,601765.193786112,28
61,32,32,13,13,RESNET-50,conv2_1_c,46345,1440031.2816384,28
62,32,32,13,13,RESNET-50,conv2_2_a,19335,630820.4019415041,224
63,32,32,13,13,RESNET-50,conv2_2_b,15872,601765.193786112,28
64,32,32,13,13,RESNET-50,conv2_2_c,46345,1440031.2816384,28
65,32,32,13,13,RESNET-50,conv2_3_a,19335,630820.4019415041,224
66,32,32,13,13,RESNET-50,conv2_3_b,15872,601765.193786112,28
67,32,32,13,13,RESNET-50,conv2_3_c,46345,1440031.2816384,28
68,32,32,13,13,RESNET-50,conv3_1_a,12127,306499.42932128004,1568
69,32,32,13,13,RESNET-50,conv3_1_b,21629,479929.979917824,8
70,32,32,13,13,RESNET-50,conv3_1_c,23573,762867.8663897602,112
71,32,32,13,13,RESNET-50,conv3_2_a,17361,430393.667236864,64
72,32,32,13,13,RESNET-50,conv3_2_b,21629,479929.979917824,8
73,32,32,13,13,RESNET-50,conv3_2_c,23573,762867.8663897602,112
74,32,32,13,13,RESNET-50,conv3_3_a,17361,430393.667236864,64
75,32,32,13,13,RESNET-50,conv3_3_b,21629,479929.979917824,8
76,32,32,13,13,RESNET-50,conv3_3_c,23573,762867.8663897602,112
77,32,32,13,13,RESNET-50,conv3_4_a,17361,430393.667236864,64
78,32,32,13,13,RESNET-50,conv3_4_b,21629,479929.979917824,8
79,32,32,13,13,RESNET-50,conv3_4_c,23573,762867.8663897602,112
80,32,32,13,13,RESNET-50,conv4_1_a,6892,189815.97927888,196
81,32,32,13,13,RESNET-50,conv4_1_b,21072,460725.93825616,392
82,32,32,13,13,RESNET-50,conv4_1_c,14857,505615.548271424,32
83,32,32,13,13,RESNET-50,conv4_2_a,10950,255408.81302224,32
84,32,32,13,13,RESNET-50,conv4_2_b,21072,460725.93825616,392
85,32,32,13,13,RESNET-50,conv4_2_c,14857,505615.548271424,32
86,32,32,13,13,RESNET-50,conv4_3_a,10950,255408.81302224,32
87,32,32,13,13,RESNET-50,conv4_3_b,21072,460725.93825616,392
88,32,32,13,13,RESNET-50,conv4_3_c,14857,505615.548271424,32
89,32,32,13,13,RESNET-50,conv4_4_a,10950,255408.81302224,32
90,32,32,13,13,RESNET-50,conv4_4_b,21072,460725.93825616,392
91,32,32,13,13,RESNET-50,conv4_4_c,14857,505615.548271424,32
