N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,conv1,200686,85120,85120,115566,1655259.939470634,0,301056.0,3161088,451584,313786368,313786368,120121344,3020976,120121344,3020976,313786368,313786368,55469232,52297728,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (1, 38), 'IC/ic': (1, 3), 'OC/oc': (4, 16)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,54904,4256,4256,50648,392421.39297587203,0,131072.0,5505024,196608,39223296,39223296,6537216,3268608,6537216,3268608,39223296,39223296,16408576,13074432,"{'B/b': (1, 1), 'OW/ow': (28, 2), 'OH/oh': (1, 19), 'IC/ic': (2, 32), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,156107,112896,112896,43211,1563825.8055383042,0,1769472.0,24772608,1769472,732168192,732168192,173408256,14966784,173408256,14966784,732168192,732168192,45293568,38535168,"{'B/b': (1, 1), 'OW/ow': (14, 4), 'OH/oh': (1, 56), 'IC/ic': (2, 32), 'OC/oc': (1, 64)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,17198,4704,4704,12494,136298.287094592,0,202752.0,1419264,202752,23181312,23181312,7225344,7225344,7225344,7225344,23181312,23181312,5922816,3311616,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (6, 32), 'OC/oc': (1, 22)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,22976,4704,4704,18272,178431.56487475202,0,294912.0,2064384,294912,33718272,33718272,7225344,7225344,7225344,7225344,33718272,33718272,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (6, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,38044,30240,30240,7804,363139.303051776,0,3538944.0,37158912,5308416,192675840,192675840,46448640,2322432,46448640,2322432,192675840,192675840,10973184,6881280,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 10), 'IC/ic': (1, 96), 'OC/oc': (2, 64)}","('B/b', 'IC/ic', 'OH/oh', 'OC/oc', 'OW/ow')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,8332,4704,4704,3628,68923.827478464,0,55296.0,1548288,55296,6322176,6322176,7225344,7225344,7225344,7225344,6322176,6322176,3366912,903168,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (6, 32), 'OC/oc': (1, 6)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,11070,3640,3640,7430,66787.98516992,0,409600.0,614400,614400,24084480,24084480,5376000,344064,5376000,344064,24084480,24084480,2269184,1720320,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,11221,4704,4704,6517,90022.78706198401,0,101376.0,2838528,101376,11590656,11590656,7225344,7225344,7225344,7225344,11590656,11590656,4165632,1655808,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (6, 32), 'OC/oc': (1, 11)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,31072,12544,12544,18528,260849.573356064,0,528384.0,3698688,528384,58254336,58254336,19267584,9633792,19267584,9633792,58254336,58254336,10212352,6472704,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (8, 32), 'OC/oc': (1, 43)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,31072,12544,12544,18528,260849.573356064,0,528384.0,3698688,528384,58254336,58254336,19267584,9633792,19267584,9633792,58254336,58254336,10212352,6472704,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (8, 32), 'OC/oc': (1, 43)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3,72105,60480,60480,11625,606088.681399296,0,7077888.0,10616832,10616832,381911040,381911040,92897280,2211840,92897280,2211840,381911040,381911040,16072704,10321920,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (1, 128), 'OC/oc': (6, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5_reduce,12798,6272,6272,6526,106060.94080131201,0,135168.0,3784704,135168,14902272,14902272,9633792,9633792,9633792,9633792,14902272,14902272,5002240,1655808,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (28, 1), 'IC/ic': (2, 128), 'OC/oc': (1, 11)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5,23354,19600,19600,3754,243394.22413824,0,1228800.0,17203200,1228800,125239296,125239296,30105600,4128768,30105600,4128768,125239296,125239296,7421952,4816896,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 28), 'IC/ic': (1, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_pool_proj,18818,6272,6272,12546,153792.16556345604,0,270336.0,1892352,270336,29804544,29804544,9633792,9633792,9633792,9633792,29804544,29804544,6793216,3311616,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (8, 32), 'OC/oc': (1, 22)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_1x1,17784,5880,5880,11904,126269.90675328001,0,1474560.0,1474560,1474560,38535168,38535168,9031680,4515840,9031680,4515840,38535168,38535168,5388288,2408448,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (15, 32), 'OC/oc': (1, 64)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3_reduce,8986,2940,2940,6046,73069.39165824,0,737280.0,737280,737280,19267584,19267584,4515840,4515840,4515840,4515840,19267584,19267584,3446784,1204224,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (15, 32), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3,19784,15120,15120,4664,205788.575102208,0,6193152.0,18579456,9289728,96337920,96337920,23224320,645120,23224320,645120,96337920,96337920,7182336,3440640,"{'B/b': (1, 1), 'OW/ow': (2, 8), 'OH/oh': (1, 5), 'IC/ic': (1, 96), 'OC/oc': (7, 32)}","('B/b', 'IC/ic', 'OH/oh', 'OC/oc', 'OW/ow')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_5x5_reduce,4226,2940,2940,1286,35843.71358112,0,138240.0,138240,138240,3612672,3612672,4515840,4515840,4515840,4515840,3612672,3612672,1869312,225792,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (15, 32), 'OC/oc': (1, 6)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_5x5,5028,1820,1820,3208,29350.223628480002,0,614400.0,921600,921600,9031680,9031680,2688000,124416,2688000,124416,9031680,9031680,1076736,645120,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 5), 'IC/ic': (1, 16), 'OC/oc': (1, 48)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,3,3,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_pool_proj,7155,2940,2940,4215,58751.823167040006,0,506880.0,506880,506880,13246464,13246464,4515840,4515840,4515840,4515840,13246464,13246464,2840064,827904,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (15, 32), 'OC/oc': (1, 22)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
