N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv1,73855,50176,50176,23679,1465402.031949618,0,225792.0,1053696,150528,102760448,102760448,118013952,2846928,118013952,2846928,102760448,102760448,54377680,51380224,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (1, 112), 'IC/ic': (1, 3), 'OC/oc': (4, 16)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,20229,1568,1568,18661,371905.89148774405,65536,0.0,1835008,131072,25690112,25690112,3211264,3211264,3211264,3211264,25690112,25690112,16121856,12845056,"{'B/b': (1, 1), 'OW/ow': (14, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",of,Weight Stationary,2864,1048576.0,524288.0,524288.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,57961,47040,47040,10921,1198286.0584401921,0,2654208.0,12386304,1769472,231211008,231211008,86704128,4157440,86704128,4157440,231211008,231211008,44462080,38535168,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (3, 64)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,7035,2352,2352,4683,123771.78640179201,2408448,294912.0,5505024,196608,12845056,12845056,4816896,4816896,4816896,4816896,12845056,12845056,5816320,3211264,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (1, 192), 'OC/oc': (1, 32)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,1048576.0,524288.0,524288.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,8617,2352,2352,6265,163030.25883955203,0,442368.0,2064384,294912,9633792,9633792,7225344,2408448,7225344,2408448,9633792,9633792,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 192), 'OC/oc': (1, 96)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,13571,10976,10976,2595,293620.549595136,0,2654208.0,346816512,1769472,51380224,51380224,21676032,4816896,21676032,4816896,51380224,51380224,13008896,6422528,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (14, 2), 'IC/ic': (1, 96), 'OC/oc': (1, 128)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,3426,588,588,2838,53548.552661504,49152,0.0,196608,196608,3211264,3211264,2408448,2408448,2408448,2408448,3211264,3211264,3260416,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 16)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",of,Weight Stationary,2864,524288.0,262144.0,262144.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,4138,1568,1568,2570,51292.941442560004,0,307200.0,204800,204800,4816896,4816896,5017600,262144,5017600,262144,4816896,4816896,2072576,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 28), 'IC/ic': (2, 8), 'OC/oc': (1, 32)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,4582,588,588,3994,74968.466579968,98304,0.0,393216,393216,6422528,6422528,2408448,2408448,2408448,2408448,6422528,6422528,4112384,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",of,Weight Stationary,2864,524288.0,262144.0,262144.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,11580,3136,3136,8444,219916.73193676802,0,786432.0,3670016,524288,19267584,19267584,6422528,3211264,6422528,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 256), 'OC/oc': (2, 64)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,11580,3136,3136,8444,219916.73193676802,0,786432.0,3670016,524288,19267584,19267584,6422528,3211264,6422528,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 256), 'OC/oc': (2, 64)}","('IC/ic', 'B/b', 'OC/oc', 'OW/ow', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,524288.0,1048576.0,0.0,0.0,1
